title,LS,TO,VB,'',WP,UH,--,NN,DT,PR,:,WD,(,),.,",",``,$,RB,IN,FW,RP,JJ,PD,MD,WRB,EX,SY,CC,CD,PO
THE_THOUSAND-AND-SECOND_TALE_OF_SCHEHERAZADE,0,0,0.2221105527638191,0,0,0,0,0.4949748743718593,0,0.0005025125628140704,0,0,0,0,0,0,0,0,0.05125628140703518,0.004522613065326633,0.0005025125628140704,0.0010050251256281408,0.2241206030150754,0,0.0005025125628140704,0,0,0,0,0.0005025125628140704,0
THE_ISLAND_OF_THE_FAY,0,0,0.21846553966189858,0,0,0,0,0.459037711313394,0,0,0,0,0,0,0,0,0,0,0.0611183355006502,0.009102730819245773,0.0013003901170351106,0,0.25097529258777634,0,0,0,0,0,0,0,0
MESMERIC_REVELATION,0,0,0.17727272727272728,0,0,0,0,0.5159090909090909,0.0007575757575757576,0,0,0,0,0,0,0,0,0,0.05303030303030303,0.0030303030303030303,0.0007575757575757576,0,0.24621212121212122,0,0,0,0,0,0.0030303030303030303,0,0
A_DESCENT_INTO_THE_MAELSTROM,0,0,0.21524852569502947,0,0,0,0,0.491575400168492,0,0,0,0,0,0,0,0,0,0,0.06402695871946082,0.007160909856781803,0.0008424599831508003,0,0.22114574557708508,0,0,0,0,0,0,0,0
VON_KEMPELEN_AND_HIS_DISCOVERY,0,0,0.21891058581706063,0,0,0,0,0.47173689619732784,0,0,0,0,0,0,0,0,0,0,0.06372045220966084,0.003083247687564234,0.0020554984583761563,0.0010277492291880781,0.23638232271325796,0.0010277492291880781,0,0,0,0,0,0.0020554984583761563,0
THE_DOMAIN_OF_ARNHEIM,0,0,0.1984093763080787,0,0,0,0,0.4947676852239431,0,0.0004185851820845542,0,0,0,0,0,0,0,0,0.05064880703223106,0.0046044370029300966,0.0016743407283382169,0.0008371703641691084,0.2486395981582252,0,0,0,0,0,0,0,0
THE_FALL_OF_THE_HOUSE_OF_USHER,0,0,0.2192266761262859,0,0.000354735721887194,0,0,0.46789641716920893,0,0,0,0,0,0,0,0,0,0,0.06349769421780774,0.0046115643845335225,0.000354735721887194,0.000354735721887194,0.24263923377084073,0,0,0,0,0,0,0.000709471443774388,0
THE_PIT_AND_THE_PENDULUM,0,0,0.24462596732588135,0,0,0,0,0.47764402407566636,0.0004299226139294927,0,0,0,0,0,0,0,0,0,0.06018916595012898,0.005588993981083405,0,0,0.2115219260533104,0,0,0,0,0,0,0,0
THE_BLACK_CAT,0,0,0.22049469964664312,0,0,0,0,0.48480565371024736,0,0,0,0,0,0,0,0,0,0,0.0558303886925795,0.004240282685512367,0,0,0.23392226148409895,0,0,0,0.0007067137809187279,0,0,0,0
SILENCE-A_FABLE,0,0,0.2303370786516854,0,0,0,0,0.4794007490636704,0.0018726591760299626,0.0018726591760299626,0,0,0,0,0,0,0,0,0.06741573033707865,0.003745318352059925,0,0,0.2153558052434457,0,0,0,0,0,0,0,0
THE_IMP_OF_THE_PERVERSE,0,0,0.20649651972157773,0,0,0,0,0.4965197215777262,0,0,0,0,0,0,0,0,0,0,0.054524361948955914,0.0069605568445475635,0,0,0.2354988399071926,0,0,0,0,0,0,0,0
THE_FACTS_IN_THE_CASE_OF_M._VALDEMAR,0,0,0.21862348178137653,0,0,0,0,0.46558704453441296,0.0008097165991902834,0,0,0,0,0,0,0,0,0,0.06882591093117409,0.0024291497975708503,0,0,0.242914979757085,0,0,0,0,0,0,0,0
THE_PURLOINED_LETTER,0,0,0.220703933747412,0,0,0,0,0.5072463768115942,0,0,0,0,0,0,0,0,0,0,0.0443064182194617,0.005383022774327122,0.0012422360248447205,0,0.220703933747412,0,0,0,0,0,0,0.00041407867494824016,0
THE_PREMATURE_BURIAL,0,0,0.22851834649326522,0,0,0,0,0.46261031119368323,0,0.00046446818392940084,0,0,0,0,0,0,0,0,0.06316767301439852,0.002786809103576405,0.0009289363678588017,0,0.24059451927542963,0,0,0,0,0,0,0.0009289363678588017,0
ELEONORA,0,0,0.23605150214592274,0,0,0,0,0.47532188841201717,0.001072961373390558,0,0,0,0,0,0,0,0,0,0.059012875536480686,0.001072961373390558,0.002145922746781116,0,0.22424892703862662,0,0,0,0,0,0.001072961373390558,0,0
THE_MASQUE_OF_THE_RED_DEATH,0,0,0.2210184182015168,0,0,0,0,0.5005417118093174,0,0,0,0,0,0,0,0,0,0,0.05308775731310943,0.0032502708559046588,0.0010834236186348862,0,0.2210184182015168,0,0,0,0,0,0,0,0
THE_ASSIGNATION,0,0,0.2259154929577465,0,0,0,0,0.483943661971831,0,0,0,0,0,0,0,0,0,0,0.049014084507042255,0.003943661971830986,0.0022535211267605635,0,0.23492957746478874,0,0,0,0,0,0,0,0
BERENICE,0,0,0.21904761904761905,0,0,0,0,0.4714285714285714,0,0,0,0,0,0,0,0,0,0,0.06190476190476191,0.0031746031746031746,0.002380952380952381,0,0.24206349206349206,0,0,0,0,0,0,0,0
THE_CASK_OF_AMONTILLADO,0,0,0.22163699568102813,0,5.267038870746866e-05,0,0,0.47313810175919097,0.00015801116612240598,0.00015801116612240598,0,0,0,0,0,0,0,0,0.05883282418624249,0.004793005372379648,0.0010007373854419045,0.0002633519435373433,0.23954492784156747,0,5.267038870746866e-05,0,0,0,0.00015801116612240598,0.00010534077741493732,0
LANDORS_COTTAGE,0,0,0.19380252100840337,0,0.0005252100840336134,0,0,0.4574579831932773,0,0,0,0,0,0,0,0,0,0,0.06722689075630252,0.004726890756302521,0.0005252100840336134,0,0.27521008403361347,0,0,0,0,0,0.0005252100840336134,0,0
WILLIAM_WILSON,0,0,0.2162520729684909,0,0,0,0,0.47330016583747925,0.0003316749585406302,0,0,0,0,0,0,0,0,0,0.05804311774461028,0.004975124378109453,0.0003316749585406302,0.0006633499170812604,0.24543946932006633,0,0,0,0,0,0,0,0
